"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"02 Zuivelproducten en eieren","Niet-EU","2021 december","19","226","207","-22,0","9,8"
"02 Zuivelproducten en eieren","Niet-EU","2021","203","2.661","2.458",".","."
"02 Zuivelproducten en eieren","Niet-EU","2022 januari*","15","217","202",".","."
"02 Zuivelproducten en eieren","Niet-EU","2022 februari*","20","233","213",".","."
"02 Zuivelproducten en eieren","Niet-EU","2022 maart*","27","275","248",".","."
"02 Zuivelproducten en eieren","Niet-EU","2022 april*","27","252","226",".","."
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 mei","232","323","91","9,5","19,1"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 juni","263","362","99","11,9","18,4"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 juli","273","390","117","13,7","17,3"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 augustus","266","384","118","18,3","20,7"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 september","303","394","91","10,5","17,1"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 oktober","248","381","133","-9,2","8,6"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 november","303","391","88","10,6","27,4"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021 december","307","447","140","14,3","23,3"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2021","3.171","4.378","1.208","7,8","12,8"
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2022 januari*","292","354","62",".","."
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2022 februari*","247","368","121",".","."
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2022 maart*","323","448","125",".","."
"03 Vis, schaal- en weekdieren en bere...","Totaal landen","2022 april*","258","451","192",".","."
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 mei","94","252","159","8,6","25,1"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 juni","115","283","169","20,1","27,9"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 juli","113","313","201","11,8","22,4"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 augustus","127","308","181","47,8","25,7"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 september","127","301","175","24,4","19,3"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 oktober","114","305","191","8,5","20,1"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 november","130","300","170","23,2","35,0"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021 december","151","353","202","23,5","31,3"
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2021","1.352","3.381","2.030",".","."
"03 Vis, schaal- en weekdieren en bere...","EU (exclusief Nederland)","2022 januari*","108","264","155",".","."
